kabko,lat,long
KAB. ACEH BARAT,4.4543,96.1527
KAB. ACEH BARAT DAYA,3.7963,97.0068
KAB. ACEH BESAR,5.4529,95.4778
KAB. ACEH JAYA,4.7874,95.6458
KAB. ACEH SELATAN,3.3115,97.3517
KAB. ACEH SINGKIL,2.3589,97.8722
KAB. ACEH TAMIANG,4.2329,98.0029
KAB. ACEH TENGAH,4.4483,96.8351
KAB. ACEH TENGGARA,3.3089,97.6982
KAB. ACEH TIMUR,4.5224,97.6114
KAB. ACEH UTARA,4.9786,97.2221
KAB. BENER MERIAH,4.7514,96.9525
KAB. BIREUEN,5.1086,96.6638
KAB. GAYO LUES,3.9552,97.3517
KAB. NAGAN RAYA,4.1248,96.493
KAB. PIDIE,5.0743,95.941
KAB. PIDIE JAYA,5.1548,96.1951
KAB. SIMEULUE,2.644,96.0256
KOTA BANDA ACEH,5.5483,95.3238
KOTA LANGSA,4.4725,97.9756
KOTA LHOKSEUMAWE,5.1812,97.1413
KOTA SABANG,5.8926,95.3238
KOTA SUBULUSSALAM,2.7121,97.9157
KAB. ASAHAN,2.8175,99.6341
KAB. BATUBARA,3.1741,99.5006
KAB. DAIRI,2.8676,98.2651
KAB. DELI SERDANG,3.4202,98.7041
KAB. HUMBANG HASUNDUTAN,2.1989,98.5721
KAB. KARO,3.1053,98.2651
KAB. LABUHANBATU,2.344,100.1703
KAB. LABUHANBATU SELATAN,1.8799,100.1703
KAB. LABUHANBATU UTARA,2.3466,99.8125
KAB. LANGKAT,3.8654,98.3088
KAB. MANDAILING NATAL,0.7432,99.3673
KAB. NIAS,1.0869,97.7417
KAB. NIAS BARAT,1.0116,97.4814
KAB. NIAS SELATAN,0.7086,97.8286
KAB. NIAS UTARA,1.3166,97.3949
KAB. PADANG LAWAS,1.1187,99.8125
KAB. PADANG LAWAS UTARA,1.5759,99.6341
KAB. PAKPAK BHARAT,2.5135,98.2213
KAB. SAMOSIR,2.6274,98.7922
KAB. SERDANG BEDAGAI,3.3372,99.0571
KAB. SIMALUNGUN,2.9782,99.2786
KAB. TAPANULI SELATAN,1.5775,99.2786
KAB. TAPANULI TENGAH,1.8493,98.7041
KAB. TAPANULI UTARA,2.0405,99.1013
KAB. TOBA SAMOSIR,2.3502,99.2786
KOTA BINJAI,3.6135,98.5025
KOTA GUNUNGSITOLI,1.2805,97.6147
KOTA MEDAN,3.5952,98.6722
KOTA PADANGSIDEMPUAN,1.3722,99.273
KOTA PEMATANGSIANTAR,2.97,99.0682
KOTA SIBOLGA,1.7368,98.7851
KOTA TANJUNGBALAI,2.9662,99.7985
KOTA TEBING TINGGI,3.3263,99.1567
KAB. AGAM,-0.2209,100.1703
